key,agreement,quote,response
"(419, 0)",4,"If I serve you Zachvac, will you bless me with great wealth?",of course emoticon_xangel .
"(749, 5)",4.2,Bravo Bradley.  That post was a joy to read.  Waxy.,"Yes, great post BradleyHarris! well written, perceptive and insightful."
"(672, 4)",5,What new class? This is a silly statement. Too general.,"Yes, Joe, I agree. Does this new class apply to the new straight couples as well?"
"(384, 2)",4.2,"And what is this ""higher view of life""? A blade of grass is a life but I don't see anyone charging out to save it. What you actually mean is ""higher view of fetus'"".","That's right, a higher view of the fetus than there currently is typically in our culture. I have no problem with anyone referring to it that way."
"(471, 4)",4.833333333,"For a 13 year old girl that could greatly damage her body to have a pregnancy so young. She is just starting to grow and mature, and its not healthy, natural, or right to have a pregnancy at that age. She could cause alot of damage being that young.","WhiteFalcon, at this point i would assume other members to say ""good, she desearves to have that damage done to her."" White, i agree with you 100 percent. it would be dangerous to her and the baby either way. :)."
"(895, 0)",4,"What would you rather have your politicans talk about<b></b>:   Gay marriage and how to ban it,   or  Securing the borders, nuclear plants, water plants and the country as a whole from terrorist attacks. Properly funding education to ensure that the future generatios are smarter then the previous. State and federal fisical policies and the long term affects on irresponble behavior. Medicare and how it will soon be eating up ever larger portion of state and federal budgets.   Is anyone else willing to stand with me in declaring that Gay marriage is nothing but a method for politicans to avoid dealing with the real issues?","You know Duo, I actually agree with you here. I think it's a method for BOTH sides to avoid dealing with other issues. For The Democrats, gay rights is a means of tokenism to get some extra votes. For Republicans, it's a way to stir up their base to avoid dealing with unpopular policies."
"(633, 1)",4,"Creationism starts with a conclusion, and finds data to support it. According to the scientific method, one is suppose to look at data, and draw a conclusion from it. Therefore, creationism is not science, and needs not take any scientific consideration. The end.",Been saying that ever since the first time I heard about creationsism.
"(313, 5)",4,I dont seem to get the punchline. Maybe its meant to be nonsensical?,"Yes. Oddly, the picture makes as much sense as most creationists. :)."
"(781, 2)",4,"...Course there is very little stopping faith and science going together, as long as the Faith is fairly vague, but even then I see it having a hard time without stepping on the toes of science in anyway, especially if we consider possible future science as well.",True.
"(2, 0)",4.4,It can go both ways. We all doubt. It is what you do with it that matters.,True.
"(12, 6)",4,Hope you like this one.  I really think it's funny.  http://www.workingforchange.com/comic.cfm?itemid=19521.,"Heh, half the science with twice the religion, nice emoticon_xangel."
"(1050, 1)",4.5,Right wing Abortion activists are divorced from reality  http://evesapple.blogspot.com/2005/08/i-do-not-make-this-****-up.html  Replace the **** with the appropriate S-word.,agreed your ideas are preaty cool.
"(547, 2)",4.333333333,"Congratulations, Joe!  I'm so happy for you. Sounds great. It's this aspect of our lives that the conservatives won't see...  But anyway, more power to you, and I hope that you and your partner have many long and happy years together.",Thank You! I think we will!
"(665, 3)",4.8,"I'm for gun control. I believe you should have a steady hand, firm grip, calm breath, and a smooth pull. The more control, the better the shot.emoticon_xkill.",Very well put. emoticon_xhoho.
"(101, 3)",4,may there never be a 34th! emoticon_xhoho.,Agreed! emoticon_xhoho.
"(1129, 4)",4.2,"This just happens to be one of my favorite ID concepts. The concept of impossible improbabilities. If it is unlikely, then it is impossible.","I know..... I've wondered from time to time exactly what this improbability is. I mean most of us would find the probabilities of dealing a given sequence from a deck of 52 card pretty ""improbable"". I guess its best to avoid those tricky fact things and stick to words only."
"(1216, 4)",4,"They only need 1/4 of the legislature, so they'll probably get that. But if it actually gets to the polls? The conservatives took a big hit when they ran around screaming ""If gays get married society will collapse and we'll all be doomed!!!11!1!!"" and then nothing happened. And of course the most organized group in Mass. opposing gay marriage is the Mass. Catholic church, and people aren't going to take kindly to a bunch of child rapers telling them what's right and wrong. The anti-gay side really doesn't have much to work with; it'll largely be a contest of good will and common sense vs. scare tactics, and the scare tactics have already been proven wrong.",This will be interesting.  I'm Keeping my fingers crossed.
"(1395, 0)",4,"If you're after concealment my favorite and regular carry is the Kel-Tec .380. Fits in the watch pocket of a pair of Levis, feeds six hollow points flawlessly and weighs almost nothing. Several of our deputy sheriffs carry them as summer off-duty pieces, which is how I discovered the convenience.","That is a nice little pistol with lots of smack for only 11 onces. Also, I like DA automatics."
"(357, 1)",4,"On the other hand, I am not suprised that Marc lives such a short distance away from where it is being built.",My thoughts exactly. :p  Know your audience as they say........  Waxy.
"(126, 4)",4.2,"Actually, the Mormon seminaries aren't ""on the grounds,"" although they may be on an adjacent, privately owned piece of property. It would be unconstitutional for the seminaries to be on property owned by the school district. The children go to the seminary on released-time, which has been found to be constitutional (although I don't see how).  Pertinent decisions about religious instruction and schools are:  McCollum v. Board of Education (333 U.S. 203) Zorach v. Clauson (343 U.S. 306)  McCollum found that religious instruction on school property is unconstitutional, while Zorach found that ""accommodating"" religious instruction by releasing students from school for that purpose was not.",Yep thats true.  There in separate buildings but right next to each other.  I see it being about as attractive as a crack house next to a school with a revolving door in front.
"(1172, 5)",4.666666667,"That would be true if he did not keep on opening up thread after thread after thread of the same subject. He makes 2 or 3 posts, then runs away to open up another thread.","Yes, i agree with you."
"(1059, 1)",4.8,Evolutionists like to think that Selection can reverse the effects of biological decay. They've argued this for decades.,True.
"(961, 4)",4,This is where the competition really occurs. This is why natural selection -- the ability to go on to breed -- on the level of the population is actually non-random.,Wow! Supersport got something right!
"(631, 3)",5,"Women are human beings with rights and should be treated as such, rather than as breeding machines.","I agree, women are not child bearing cubicles thats only function in life is to have babys. What trouble's me is that, if men had to go through what women did in pregnancy, the pro-life movement would be totally non-existant. Men are really not capable of being pro-life without being a hypocryte, as they have not experienced pregnancy. Why that is not true of the pro-choice side, is that we let the women choose, and she can choose both ways if she wishes. The pro-life movement involves force and blatant disregard for rights of the women, to the point of violation, yet the men have almost no knowledge of what it is like to get pregnant or have babies. Many pro-life men do know what raising a child is like, but they do not know what raising a child is like when you are a 14 year old girl with three kids already and no money. Yes, not all abortions go this way, but some do, and thats the point. You don't know every women's circumstances, and until you do, you are in no position to force her to abide by your morals, and thus harming her."
"(1199, 4)",4,"It was a pretty clear rebuttle of the idea that the ToE breeds social elitism, Marxism, and Nazisim.","...which -- although a very good point when it comes to refuting creationist claptrap -- is not even the major issue of this forum.  Undesirable consequences of an effect do not make that effect false or nonexistent.  Gravity ""breeds"" falling deaths, which are bad, so let's maintain that gravity doesn't exist..."
"(1149, 1)",3.833333333,They were both created on the sixth day according to Genesis 1.,"True, God created Adam, then he created Eve out of one of Adam's ribs. All in one day."
"(26, 5)",3.2,i own several ak47s as well as chinese sks rifles im not a gang banger. . the last thing i want to do is shoot another person am i wrong? i like to shoot (saftley) at targets its just more fun to do it with a semi-auto rifles.,"If guns make you happy and you do not break and criminal codes. Then you need no reason nor do you have to justify yourself to anyone. The Constitution or firearms laws have nothing to do with ""if you need one""."
"(46, 3)",3,"I agree as well. Urban Hot Islands are not a big deal. Of course they will be warmer (more energy, lighting, etc) but that does not mean the Earth will suffer catastrophic climate change..emoticon_rolleyes only in movies.",Here here!  emoticon_xhoho.
"(1007, 0)",3.2,"Global warming sure is a threat. Some of the Polar Ice Caps already melted. Average temperatures have rised since 50+ years ago at a constant rate. We better stop polluting now, or we will be in big trouble.","The Polar Icecaps have been melting for the past 14,000 years according to experts. Many in the scientific community believe that it would be another 100-1000 years before the melting of Polar Ice becomes a factor in the rise of sea level. What they believe is more important is the thermal expansion of the world's water that comes with the increase in the oceans' mean temperature. Some predict that the rise in sea level could be 3' by 2100, so don't invest long-term in any beach-front property that isn't on tall stilts and you'll be OK.  emoticon_xgood."
"(935, 6)",3,This one line stuck out because it mentioned evolution in a future context. Something I have not heard before.,I have not heard of it before either. Any information that you or other member's can gather on this subject would be of great interest. I will also keep my eyes open.
"(2, 2)",3.4,"I personly would not condone an abortion, however i wouldn't condem a person who wanted one: its there choice. you can't pass your ideas of when life began ect on to another person but its highly debatable and each person has a right to decide for themselves. you can not prove life begans at conception, and the burden of proof for taking away one's rights relys on proof.   points  1) child birth is dangerious, deadly and painful. many women have died during child labor. due to our bi-pedalism the female hip is much smaller than it should be making it most of the time impossible to give birth (thus a c-section) how can you force someone to carry around a child they do not want for 9 months?   2) rape   3) if you try to stop it, you won't. you will just put it back on the street (much like drugs) doctors will be preforming back alley abortions.   4) if your mother doesnt' want you who will? people say oh adoption is in such high demand. true: however its not because of a lack of children its because of buerocratic XXXXXXXX. the gov. doesn't want to be responsible for child abuse so they over screen adoption parents and make it diffucult to get a child. the cost is astronomical.   5) overpopulation is a problem.  note: religion should not influence your decision in law making. only in personal moral decisions.","This is a pretty touchy issue, and I agree with the different points of view.. most of them make sense... while I don't personally agree with abortion, I don't feel that I have the right to tell someone else what they should do. The way I see it, is that it's their body, their life, they are the ones who will be affected by their decision. I don't have to like the choices someone else makes, and I don't have to agree with it, but while I have that right, I also believe that people should have the right to make those decisions. Are these anti-abortion people going to step in and pay for the cost of having the baby, raising it, etc..??? Maybe some of those are the issues people consider when having an abortion. Maybe the woman was raped. I see the point when someone said that the baby should not be punished for that, and I agree with that, but the rape was committed against the woman's will... she didn't ask for that to happen, and if a pregnancy results from that, that is also against her will, so why should she feel that she has to have the child? What does she tell the child when it decides to ask who its father is?? The child could still be born and given up for adoption, and that is a good idea, but maybe the woman will relive the rape throughout the pregnancy by being reminded of it on a daily basis.... all I feel is until it happens to you, and YOU are forced to make these kinds of choices, you shouldn't judge anyone else for the choices that they make."
"(521, 4)",3.2,"It used to mean that, now it is just a screen name. I was a big fan of AMD back when I was invested in them. They are still a decent company but they can't seem to keep up with Intel.  I like your screen name as well. I'm guessing you got the idea from Braveheart which is my favorite movie of all time!",Exactly where it is from. :) Great movie.
"(817, 0)",3,I'll post another in the next couple of days.,"Bless your heart, Lurch.  heidi."
"(448, 4)",3.2,You need look no further than the current state of California to realized that the United States is heading towards socialism just as Europe has in the past few decades. Will the United States one day become a socialist nation? Does socialism work? Would avoiding socialism hurt the future of the US or would socialism hurt the future of the US?,"Yes California is following European socialism. Just like socialist Europe, they are going broke. Socialism depends on large income taxes to fund social programs. Try the same taxes here in the USA and people will get thier guns and shoot all the politicians trying to tax them. Remember this country was born over a fight over taxes."
"(1394, 6)",3.2,"Science will never be able to disprove any god because of some flaw science happens to point out. The best individuals can do is, when people try to reason that such perfect organs imply a designer, point out that the design isn't all that perfect after all.","Exactly. Trying to prove that God, if he exists, didn't make us as good as an all powerful being should have made us doesn't prove anything in the God debate. I could always debate that since God is all powerful and all knowing he could have always thought of something better to do. If he made those changes, then of course there would still be something better he could have thought of. This would be an endless loop of creating something better and better until finally he would have to stop and say that is good enough. But even then this debate that he didn't make us as good as he could have would be valid in my view."
"(1022, 3)",3.2,"At the risk of getting flamed:  well for starters science doesn't disprove god. Any opinions about the existence (or non-existence) of any kind of god come from personal experience, and analysis of current evidence.",Granted.
"(148, 1)",3.4,"I think when trying to prove the xistance of god, you are in a similar situation. You cannot see god, you cannot measure him, though some claim they can feel his presence.   Personally, I believe in god, and I feel a little sorry for those who don't. Faith in something bigger than yourself, bigger than all mankind, can give you something to hold onto when there seems to be nothing else.   Personally, I believe in god because sometimes he talks to me. It is like a little voice in the back of your head that gives you nudges inthe right direction (sometimes the voice is not so little). Maybe I am schizo. Maybe it is my subconscious. Personally, I believ it is god. I have never gone wrong heeding that little voice, though I have often walked right into a heap of trouble when I have ignored it.   Anyway, that is my proof. I don't expect it to convince anybody but me, but there it is.","i like your point on faith and believing in something bigger than yourself. i think man has an instinctive drive to better himself. and everyone believes in something bigger than himself, and its totally in the mind. for some its God. for some its their dreams. for some its their family, community, country, future generations of mankind. whatever it is, it is absolutely based on faith, and it is an element that pushes you to better yourself. faith in something bigger than yourself inspires improvement and self esteem, and i think everybody needs it."
"(240, 6)",3.6,"The National Guard interpretation of the militia is totally false. The NG is a standing army. The militia is not. The NG can be federalized. The militia can not. They wear the same uniforms. The officers all know each other and play golf together.  If the NG is the militia, then I want to have stock plies of weapons at schools, hospitals, libraries, and churches. No federalization of NG. Complete and total seperation of NG from federal influence, communication, and socializatlion, right down to even different uniforms.",We are saying the same thing.
"(1091, 5)",3,"I never recall thinking girls were icky, I acually remember having crushes on girls when i was 5/6, now it wasn't of a sexual nature, but I was attracted to them. But once I was exposed to the facts about sex, I just wanted to know more and more, and quite often I wanted to know too much. My brother was the same and lost his virginity at the early age of 13, the girl he was with, I believe she was 12.","Oh, I suspect my kid likes girls well enough, but most of them aren't any good at football so he finds them relatively useless (unless they are good at video games).  Lots of kids were losing it early when i was young, too. I remember it being peer pressure thing, an attampt to be cool. And I also remember sex ed being pretty sad...."
"(419, 2)",3.4,"I think you'll find that Byzantine (http://www.byzcath.org/), or Greek Catholic, are Catholic. Like the Maronite Church they practice Eastern Rites as Orthodox do, but they acknowledge the Pope as the head of the Church.* They even say the original ""Nicene Creed"" as we do.","Yes, the Byzantines are a Catholic Rite. The Catholic Church is divided into rites- there are seven I believe, the Roman, of course, being the largest. The Byzantine Catholics are an Eastern Catholic Rite, and as you said are almost identicle to the Orthodox Churches except that they acknowledge the Pope as the head of the Church.  East to West, a website regarding all the churches of the Catholic Church, especially those of the east.  Real quick, the Orthodox acknowledge the Pope as the successor of Peter, but not as the head of the Church. Am I correct?"
"(796, 3)",3.166666667,"I agree with Epaphras.     Your justification for abortion was that women die from illegal ones (or something to that extent). My condemnation for abortion is that becuase the fetus is human, abortion is always homocide.","Well, I think I will be sending Satan a snow shovel about now.  We actually agree on something. It is ""inconceivable"" (to quote ""the Princess Bride"")."
"(105, 1)",3.5,"Here's a question; which one split from the other? Which one is the ""new"" being? None of them are. If I get a cake and slice into two exact pieces, which one is the ""new"" slice? They are both equally new.",Yep that is the problem. You can't tell.
"(468, 5)",3.5,"Ugh, the stupidity. I read the first chapter, here's some good excerpts.    It's helpful if one understands evolution before one attempts to debunk it.    That's just a blatant lie. The vast majority of mutations are actually neutral.    One word: archaeopteryx.","I know what you mean. You should see some of the other ""books"" he has at his site as well.  Well, now we know that Muslim creationists are even nuttier than Christian creationists, but both still use the same twisted ideas and concepts to justify their pseudo-science of creationism (Read: Religious beliefs). ;)."
"(948, 2)",3,"Edit: Yea, shouldnt this be in the religion section...?",Perhaps.
"(531, 5)",3.4,"Scott,  You missed Monty's point. Catholics ARE Christians. I've heard that there are more than 1000 different sects that claim to be Christian, including Orthodox Christians and various and sundry Protestant sects. It would have been more correct for you to state that basically everyone you know is Christian.",This is correct. It is almost insulting to regard people as either a) Christian OR Catholic - as this also implies that Orthodox are neither.
"(90, 2)",3.166666667,"If I can find the time, is anyone here interested in debating the virgin birth in the debate section? I would debate it didn't happen.",Actually Hank I agree with you. I don't believe it happened either. I am curious to hear your opinion on the matter.
"(1007, 2)",3.2,"When 'evidence' is interpreted, it is interpreted by flawed and failed humans with biases just like everyone else's.","Right. That certainly explains the many, many versions of Christianity."
"(714, 1)",3.833333333,Human's wrote the bible. Not all words in the bible were inspired by God. They are simply fallable man's interpretation of a greater intelligence. Human's little finite minds cannot comprehend this greater intelligence in all concepts.,"Oh I quite agree. Unfortunately, not everyone is able to see it as such. I was admitting to those who don't that it does appear that God confirms their homosexual prejudices.   To back Traveler up however, I don't buy the 'closet case' answer myself. People who are racist aren't secretly scared they are black, equally homophobes aren't necessarily closet homosexuals. Unfortunately such irrational prejudices just exist."
"(213, 3)",3.666666667,Life begins at conception-----Brainwaves at three weeks<<<<<<<<<<<<<<  Just the facts... emoticon_idea.,Its true. emoticon_xbye.
"(661, 6)",3.4,Carbon's half life is too short. Bottom line - it does not go back far enough.,Yes. That's it.
"(1302, 3)",3,Is lucifer the Devil?,"Yes &#8211; same, same."
"(104, 0)",3.333333333,"I laughed so hard when I read that Kronus. Unfortunately, its funny because its true.","Oh boy, you said it!  Is the Earth's Magnetic Field Young?"
"(504, 4)",3,The only difference is that the gene for making short hair has been eradicated from the population by natural selection -- that is it.,Right. The frenquecy of the alles have changed over time.
"(372, 1)",3.333333333,"The guy can have an opinion but the ultimate choice is up to the woman who can listen to what the guy says or not, it's up to her. I believe that is what sinjin was saying.",Exactly so.
"(1062, 6)",3.166666667,"Is it possible that the ""rigidity"" of many evangelical churches and what they expect of their members drives couples to divorce when one partner isn't as ""on board"" as the other? Many people have only joined these churches of late and were already married when they did. Just thinkin'.","I think you nailed it! I also think that if you are willing to give up your relationship over religion you could be on the border of addiction not faith. (not you personally, but rhetorically)."
"(661, 2)",3,A very bad thing all around... I would like to see how this turns out.,"Well, the Judge made a ruling late last week that she should not be revived should her breathing stop again, backing the medical assessment of her doctors:  http://news.bbc.co.uk/1/hi/health/3723656.stm  And yes, very sad.  Another dilemma posed by what has become possible through ever advancing medical science....."
"(88, 4)",3.333333333,"hey! i was gonna say the same thing jim just said, whadya know!  but basically, God cannot do the illogical, like create a round square, simply because it cannot be done. it is by nature illiogical for any rock to be unbreakable, no matter how hard it is. in fact, something as simple as adding 2+2 and getting 3 is impossible for God. that doesnt make him less omnipotent, just means that there are certain illogicalities that can never exist.","Ditto. To unkerpaulie, you are good! I really enjoyed reading your post, especially the last part: ""just means that there are cerain illogicalities that can never exist"". I would also say that God is also a logical being from whom we derive our logic - which appears to be missing in the original post...  The original post does not put limits on God's power, just, as unkerpaulie said, there are certain illogicalities that can never exist."
"(742, 6)",3.4,"Thanks, that's very kind of you.",lol you're welcome emoticon_xangel.
"(141, 5)",3.5,To travel along the logic of the singularity expanding its obvious that the singularity is what we have today..,"Yes. (In a way.) We are ""in"" the same thing that existed way back then. It has just expanded since then, so it's much bigger now.   ."
"(768, 6)",3.666666667,"Maybe only one person could build a computer, maybe one person could make a car, maybe one person could run the mile in under 4 minutes. That doesn't mean that God can do ALL of these things. It means that whoever we define to be the greatest being, we can call him god and thus he exists. Of course this wouldn't be sufficient to Christians as this says that God is probably mortal and has the limits of being a physical being.",exactly. :).
"(862, 4)",3,I thought the idea of starting threads on a topic was to start a discussion on that matter.,"Yes, that is logical."
"(532, 6)",3.5,So what. Congress can pass any law it wants. Doesn't mean it will stand up in court.,"Yes, because congresses powers are actually pretty limited. It hink it will be interesting to see how the 2 upcoming supreme court cases (one has already been accepted, the other is pretty much a shoe in) regarding the commerce clause will be handled, since the majority of the laws that congress passes are tied to it."
"(443, 2)",3.166666667,"If we bankrupt the country, the war on terror won't be the reason.","You're right it'll be fighting the war in Iraq. )Nah, really it'll be from social security, etc etc."
"(497, 0)",3.333333333,"I don't care much either way, as long as he never walks around loose again. But life in prison is going to cost the taxpayers hundreds of thousands of dollars.  That money could be better spent in the war on terror.","That's why I say, ""Kill the bastard!""."
"(1156, 6)",3,"I stand corrected on the temperature of space. 2.78 Kelvin translates into -454 F. And I suppose it's possible that something could survive (but not likely). No matter what, entropy on earth would increase.  Glad you like the link. Check out ""Things creationists hate"". It's excellent.","I like.  I have always liked this line of evidence too, but I always forget about it in the fog of war: http://members.aol.com/darrwin/vestigial.htm#babies."
"(873, 2)",3.8,"The areas of America where divorce rates are highest are also frequently the areas where many conservative Christians live. Kentucky, Mississippi and Arkansas voted overwhelmingly for constitutional amendments to ban gay marriage. But they had three of the highest divorce rates in 2003, based on figures from the Census Bureau and the National Center for Health Statistics.  http://www.sunherald.com/mld/thesunherald/news/world/10179154.htm.","You know, I heard that from my mom last week. My parents moved to Arkansas when my dad retired a few years back. Mom thought it was amusing and disgusting that the state she moved to would have voted in such an alarming manor yet takes no measure to secure the marriages they already have.  Ironic indeed."
"(147, 2)",3.333333333,"""I Don't Have Enough Faith to Be an Atheist"" is a book out by Norman L. Geisler and Frank Turek  After listing a series of embarrassing gaffes of the apostles, Geisler and Turek ask the reader, ""If you were a New Testament writer, would you include these embarrassing details if you were making up a story? Would you write that one of your primary leaders was called 'Satan' by Jesus, denied the Lord three times, hid during the crucifixion, and was later corrected on a theological issue?","Without a doubt Peter is my favorite in the NT.  Acts 2 is a shocking turn of events, when on the day of Pentecost 3,000 believed in Jesus as the Jewish Messiah, and were saved and received the power of the Holy Spirit.  Truly God used the lowest and most worthless and in Peter's lowest, God used the occassion for the highest Good. And, at the end of his life, he asked to be cruicified upside down (a merciful request, BTW) - who could make this scenario up?  Why would 3,000 Jews believe in a dead Messiah? Why was the tomb empty? If Jesus was not the Messiah, who could believe the Gospel?  Why would anyone risk being a Jewish heretic, and being cast out of Jerusalem? Acts 7 if memory serves me, or 8,9 as the believers in ""The Way"" - Jews for Jesus as it were, were expelled from Jerusalem.  Some did stay behind with James, who was later beheaded 40 - 50 A.D. or so. More for tomorrow.......L8r, Rich."
"(979, 6)",3.333333333,"Now the title of this thread, proposed by richbee. You reject a theory of multiple universes because of no proof, this is all agnosticism is. They say there is no proof of god so I don't believe for sure that there is one. They also know you can't prove there is no god so they are not convinced one way or the other. It's a lot better logic than you tried to use. Maybe you should just respect others' beliefs and realize that they've actually thought about their decisions and can do more than just quote a book and other people. You should be able to post quotes but you should actually put a little of your own knowledge and thought into posts as well. I doubt this will have any effect on you at all, but oh well I tried.",Right on.
"(820, 4)",3,"Abortions hurt much more than they heal. Not just phsyically (Side effects can occure months afterward) but psychologically as well. Guilt, depression, so forth.   In my view, abortion is murder, one way or the other and rare extreme cases don't justify its legality. Even the rape victim gets a better chance than the baby does. They're at least alive while they kill their baby. That in itself will eat at the person for years until they find some way of forgiving themselves.  I believe these testimonies to be real, and I feel sorry for those victims who feel obligated because of family relations' reputations to kill their own child. It really is sad.","What I've been saying here, and after awhile - the guilt, depression, etc - will get buried, deeper & deeper - but no negative/damaging experiences leave people. They stay quietly in the background-computer base -  until, as you said: Hopefully, the person ""finds some way of forgiving themselves"", right.   But what about in the mean-time? - And we know, from research & quite a number of Healers, that rot (inside a person) is damaging... and often in very unsuspecting ways.  Much better to life benevolently, in the first place.  Annie."
"(1291, 4)",3,"Sure. Bring on the free machineguns to every male of military service and the paper tape.  BTW are YOU going to clean your machinegun? You are going to have to own a machinegun in your home you know. Your going to be forced to keep your machinegun clean. Your going to be forced to learn to place head shots at 300 yards. Your going to be forced to keep ammo sealed by paper tape. Sure I do all that right now. I'd be happy to do that with a free machinegun and free ammo. Is that what YOU want? The government handing out free machineguns? Just checking if you want that. I want it. Give me a free machinegun. Give my friends who shoot at the range and shoot rifle matches, give them all free machineguns and free ammo. Bring it on.",Count me in for a couple of MP5s. I'd even take American made M4s if they're running short on the HKs. I'll keep the paper sealed ammo tins intact and buy my own ammo. Quality 9mm has gotten so inexpensive I can't afford to reload it. 5.56 has always been that way. I like that idea.
"(573, 4)",3,"Why doesn't this apply to Soviet Russia - which had a population of similar size ? Presumably, your answer would be that the USSR was less ""developed"" than the US ?","You presume correctly, sir. :) Overall the USSR could produce almost the same level of technology the US could during the cold war; however the restrictive nature of Soviet society during that time I believe quashed the possibility of many bright Soviet citizens to be better educated, and eliminated the possibility that many of them could reach their potential. I hope the situation is improving there; guess we'll find out in 50 years.  Another factor that contributed was the fact that there are more remote and undeveloped areas in the former USSR than in the US, which supports the idea that parts of the Soviet Union were (and may still be) less developed."
"(424, 4)",3.4,The movement to teach YEC is non existant.,"Right. It was thrown out of schools back in the 1960s, and again in the 1980s when attempts were made to dress creationism up in the jargon of science and call it ""Creation science.""."
"(1165, 2)",3.142857143,HAPPY BIRTHDAY :).,Thanks man! Too bad I can't do anything today :(.
"(754, 3)",3.4,"Even the ones that are destined to go extinct without producing any ""daughter"" species? Apeart from that quibble though, you are right. But don't tell the creationsts; it'll only confuse them ;).","Well, ok. You're right.   Now that I think about it, ""missing links"" and ""transitional fossils"" aren't really the same thing.  All species are potentially transitional, in that if the line continues it will change eventually, maybe even split.  But missing links are something different.  It's just a fossil that shows some relationship between other fossils and that's really all."
